,Year,Combustible,Type,Subtype,Unit,Domestic,Imports,Total
209,2016,Combustible Tobacco,Cigars,Large Cigars,Cigars,20543095.1903125,28335283.4375,48878378.627812505
210,2016,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,118477707.0,606334.0,119084041.0
211,2016,Combustible Tobacco,Cigars,Small Cigars,Cigars,1931041.1290625,86738.4375,2017779.5665625
212,2016,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,2938377.999375,238630.00078125,3177008.0001562503
213,2016,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,2938378.0,238630.0,3177008.0
214,2016,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,37629238.0,5138273.0,42767511.0
215,2016,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,18913518.0,1092411.0,20005929.0
216,2016,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,507456492.554375,15496406.25,522952898.804375
217,2016,Combustible Tobacco,Cigars,Total Cigars,Cigars,22474136.319375,28422021.875,50896158.194375
218,2016,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,34690860.0,4899643.0,39590503.0
219,2016,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,34690860.00046875,4899642.9990625,39590502.999531254
220,2016,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,556322798.7139063,34845690.187343754,591168488.90125
221,2017,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,37536970.999531254,3867574.00046875,41404545.0
222,2017,Combustible Tobacco,Cigars,Small Cigars,Cigars,1684555.405,102366.875,1786922.28
223,2017,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,35074282.0,3665466.0,38739748.0
224,2017,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,17479594.0,1003775.0,18483369.0
225,2017,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,486071035.539375,15978801.71875,502049776.320625
